time,0#0,0#1,0#2,0#3,0#4,1#0,1#1,1#2,1#3,1#4,2#0,2#1,2#2,2#3,2#4,3#0,3#1,3#2,3#3,3#4,4#0,4#1,4#2,4#3,4#4,myVelocity,myHeading,myX,myY,mySection,averageEnemyDistance,gotHit
348,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.4829492594954146,328.7607851117912,378.9432361522112,345.3908809382464,2#2,244.93844885581424,0
380,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6.826956759356953,328.7607851117914,311.3982838446812,456.7487752830931,1#3,225.6400944039813,0
414,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,40.16550765696765,262.4574539164175,407.8361527665876,1#3,266.2508903743154,0
459,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,40.16550765696761,117.977955273322,236.65883396576083,0#1,392.3250468062541,1
492,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-4.0,39.80557109226522,64.5981560033552,173.31778720402625,0#1,465.7434398250959,0
520,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,7.0,85.2407375991178,86.87878467612336,165.67720088897883,0#1,441.2387114146957,0
550,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.0,85.2407375991178,258.2857463493533,179.94792231264563,1#1,389.07211113605126,0
581,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1.0,75.99990038215834,355.9702953056548,188.24192358261303,2#1,376.0336175768154,0
608,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7.0,85.26585236589332,486.5231982877423,199.0557683764056,3#1,343.0591401760448,0
626,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4.0,88.31735938400514,519.9549433184243,201.6510188570752,3#1,292.8096145673853,0
650,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5.0,88.31735938400523,652.8975940473155,205.55635074771672,4#1,262.72933793729834,0
675,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-4.0,84.552207753863,684.3813745363569,204.6816263681495,4#1,405.535596164481,0
699,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-4.0,135.7232751525644,586.512098520461,267.94870000584325,3#2,306.77629153741896,1
722,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-3.0,135.7232751525644,494.3596653980668,362.4575835545479,3#3,135.36986370680884,0
755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-5.0,147.5288077091514,400.9468676171026,462.6549223159816,2#3,176.38594048279472,0
779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.5,230.65150293095124,380.8158617081735,455.251825176902,2#3,341.23452345857385,0
802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.0,230.65150293095124,271.3933714933898,365.5357807077232,1#3,390.5713763193611,0
818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,240.21602696101215,200.0,307.0,1#2,434.2948307313823,0
841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,301.08395244536194,302.92353162714863,276.6973744382313,1#2,466.56725131539184,0
867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-2.0,301.08395244536194,433.0981135299011,198.22076501578263,2#1,357.7708763999664,0
890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-2.0,301.083952445362,549.570107863943,128.00485132201285,3#1,219.2464366871216,0
915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,296.0477585934103,623.1986189639597,85.50403847989776,3#0,63.56886030125127,0
948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0426078631286675,38.11260758573754,616.3547127207654,127.0518415700213,3#1,190.307645668796,0
973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.0,38.112607585737535,702.8954653694253,237.37135265094315,4#1,126.62543188475212,0
998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.8915104553960506,31.86597769360921,746.0,300.0,4#2,125.7179382586272,0
1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,288.8659776936091,673.5264560095619,356.1354331674548,4#2,167.83622970026465,0
1048,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,300.3456073615387,627.308252525411,368.762637396492,3#3,342.23529917295207,0
1072,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,300.3456073615387,497.8592014514797,444.5448462324629,3#3,453.3696063919592,0
1106,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,35.5,475.4473151479884,446.2155892203879,2#3,253.8109532703425,1
122,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,-2.0,109.25,275.1270142062022,125.8330294681925,1#1,447.5574972947789,1
